experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_5n_6t_6d_1000f_617m_5i,0,759.337703571,,0,0
sea_cp_5n_6t_6d_1000f_617m_5i,0,2768.776748054,20m35.756s real 23m20.481s real 20m10.381s real 19m25.749s real 19m20.233s,3753,5000
sea_mem_5n_6t_6d_1000f_617m_5i,0,531.868908272,0m10.062s real 0m11.447s real 0m6.582s real 0m7.706s real 0m7.985s,758,1000
lustre_3n_6t_6d_1000f_617m_5i,0,1022.493377616,,0,0
sea_mem_3n_6t_6d_1000f_617m_5i,0,797.005434931,0m16.470s real 0m14.901s real 0m9.518s,856,1000
sea_cp_3n_6t_6d_1000f_617m_5i,0,4271.575684381,34m42.565s real 34m26.174s real 30m55.954s,4247,5000
sea_mem_5n_6t_6d_1000f_617m_5i,1,537.053342034,0m8.648s real 0m8.153s real 0m7.372s real 0m9.629s real 0m8.476s,757,1000
lustre_3n_6t_6d_1000f_617m_5i,1,1030.414540407,,0,0
sea_cp_5n_6t_6d_1000f_617m_5i,1,2865.926731480,20m44.203s real 21m56.765s real 21m34.715s real 19m47.162s real 18m32.976s,3752,5000
sea_cp_3n_6t_6d_1000f_617m_5i,1,4631.599231732,34m21.242s real 35m6.979s real 29m5.659s,4253,5000
lustre_5n_6t_6d_1000f_617m_5i,1,785.365151038,,0,0
sea_mem_3n_6t_6d_1000f_617m_5i,1,795.948381276,0m13.577s real 0m13.754s real 0m15.228s,852,1000
lustre_5n_6t_6d_1000f_617m_5i,2,790.516604186,,0,0
sea_cp_5n_6t_6d_1000f_617m_5i,2,2871.488876284,21m25.277s real 22m4.196s real 21m15.087s real 21m49.414s real 19m4.014s,3747,5000
sea_mem_5n_6t_6d_1000f_617m_5i,2,532.170467873,0m9.305s real 0m5.772s real 0m7.605s real 0m7.257s real 0m9.963s,750,1000
lustre_3n_6t_6d_1000f_617m_5i,2,1038.711835322,,0,0
sea_mem_3n_6t_6d_1000f_617m_5i,2,805.406965386,0m14.824s real 0m15.654s real 0m12.083s,855,1000
sea_cp_3n_6t_6d_1000f_617m_5i,2,4704.904127318,36m21.315s real 33m11.115s real 31m43.442s,4248,5000
sea_mem_3n_6t_6d_1000f_617m_5i,3,809.079832865,0m14.903s real 0m10.674s real 0m12.496s,854,1000
lustre_3n_6t_6d_1000f_617m_5i,3,1074.631136604,,0,0
sea_cp_3n_6t_6d_1000f_617m_5i,3,4296.702989518,35m39.238s real 35m52.610s real 34m42.299s,4249,5000
lustre_5n_6t_6d_1000f_617m_5i,3,808.176253479,,0,0
sea_mem_5n_6t_6d_1000f_617m_5i,3,544.874648514,0m6.993s real 0m7.916s real 0m8.329s real 0m10.615s real 0m9.783s,755,1000
sea_cp_5n_6t_6d_1000f_617m_5i,3,2666.231487406,22m7.504s real 22m33.287s real 23m3.714s real 21m21.978s real 19m12.454s,3753,5000
lustre_3n_6t_6d_1000f_617m_5i,4,1089.690720415,,0,0
lustre_5n_6t_6d_1000f_617m_5i,4,799.532235064,,0,0
sea_mem_5n_6t_6d_1000f_617m_5i,4,565.880039721,0m7.605s real 0m11.930s real 0m5.931s real 0m11.002s real 0m7.731s,756,1000
sea_cp_3n_6t_6d_1000f_617m_5i,4,4283.559834190,35m2.153s real 35m23.124s real 31m17.799s,4251,5000
sea_mem_3n_6t_6d_1000f_617m_5i,4,802.895308541,0m10.256s real 0m17.441s real 0m12.750s,853,1000
sea_cp_5n_6t_6d_1000f_617m_5i,4,2854.960812188,21m40.041s real 24m49.306s real 20m25.898s real 21m20.323s real 20m4.848s,3751,5000
