experiment,repetition,runtime,flush_time,disk_files,total_flush
sea_mem_4n_6t_4d_1000f_617m_10i,0,981.252795107,0m16.950s real 0m16.838s real 0m17.044s real 0m17.429s,0,0
lustre_4n_6t_6d_1000f_617m_10i,0,1250.741956930,,0,0
sea_mem_4n_6t_1d_1000f_617m_10i,0,1681.779427274,0m5.196s real 0m5.130s real 0m5.191s real 0m5.236s,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,0,1226.020674130,0m15.250s real 0m15.624s real 0m15.480s real 0m15.625s,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,0,920.717146536,0m17.204s real 0m17.462s real 0m17.108s real 0m16.936s,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,0,1550.699356141,0m10.152s real 0m9.997s real 0m10.180s real 0m10.282s,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,0,833.555939123,0m17.353s real 0m17.349s real 0m17.333s real 0m17.247s,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,1,1218.581904620,0m15.801s real 0m15.418s real 0m15.392s real 0m15.700s,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,1,874.505486852,0m16.788s real 0m17.573s real 0m16.920s real 0m17.409s,0,0
sea_mem_4n_6t_4d_1000f_617m_10i,1,1008.703681914,0m17.056s real 0m17.331s real 0m17.178s real 0m16.876s,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,1,1472.190921599,0m10.003s real 0m7.632s real 0m9.961s real 0m10.259s,0,0
sea_mem_4n_6t_1d_1000f_617m_10i,1,1660.701680838,0m5.055s real 0m5.108s real 0m5.221s real 0m5.260s,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,1,879.141428209,0m17.462s real 0m17.336s real 0m17.391s real 0m17.176s,0,0
lustre_4n_6t_6d_1000f_617m_10i,1,1255.137770647,,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,2,1462.476933159,0m10.163s real 0m10.182s real 0m10.325s real 0m10.341s,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,2,1261.695737043,0m15.615s real 0m15.585s real 0m15.422s real 0m15.771s,0,0
lustre_4n_6t_6d_1000f_617m_10i,2,1273.094207393,,0,0
sea_mem_4n_6t_4d_1000f_617m_10i,2,999.394824703,0m17.349s real 0m17.124s real 0m17.185s real 0m17.153s,0,0
sea_mem_4n_6t_1d_1000f_617m_10i,2,1672.958817609,0m5.119s real 0m5.158s real 0m5.174s real 0m5.256s,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,2,827.636411567,0m17.226s real 0m17.326s real 0m16.911s real 0m17.511s,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,2,896.126519668,0m17.050s real 0m16.923s real 0m17.480s real 0m17.353s,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,3,905.672792186,0m17.085s real 0m17.019s real 0m17.342s real 0m17.154s,0,0
sea_mem_4n_6t_4d_1000f_617m_10i,3,998.093614931,0m17.107s real 0m17.214s real 0m17.272s real 0m16.984s,0,0
lustre_4n_6t_6d_1000f_617m_10i,3,1244.202081337,,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,3,1540.738430613,0m10.005s real 0m10.207s real 0m10.225s real 0m10.358s,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,3,1313.708993413,0m15.561s real 0m15.409s real 0m15.641s real 0m15.784s,0,0
sea_mem_4n_6t_1d_1000f_617m_10i,3,1677.536065260,0m5.135s real 0m5.068s real 0m5.164s real 0m5.214s,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,3,835.307881889,0m17.472s real 0m17.336s real 0m17.192s real 0m17.219s,0,0
sea_mem_4n_6t_1d_1000f_617m_10i,4,1689.660796752,0m5.162s real 0m5.150s real 0m5.281s real 0m5.173s,0,0
lustre_4n_6t_6d_1000f_617m_10i,4,1245.870735220,,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,4,872.534941097,0m17.166s real 0m17.068s real 0m16.990s real 0m17.238s,0,0
sea_mem_4n_6t_4d_1000f_617m_10i,4,1065.863785263,0m17.219s real 0m16.775s real 0m17.013s real 0m17.393s,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,4,833.782711764,0m16.367s real 0m17.094s real 0m17.702s real 0m17.447s,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,4,1504.702138483,0m10.017s real 0m9.323s real 0m10.225s real 0m10.330s,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,4,1268.985069252,0m15.519s real 0m15.423s real 0m15.354s real 0m15.726s,0,0
