experiment,repetition,runtime,flush_time,disk_files,total_flush
sea_mem_4n_6t_1d_1000f_617m_10i,0,537.533262647,,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,0,528.488088187,,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,0,541.844657314,,0,0
sea_mem_4n_6t_4d_1000f_617m_10i,0,555.117667914,,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,0,546.767856537,,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,0,540.408554947,,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,1,547.970326401,,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,1,541.957753024,,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,1,546.780236278,,0,0
sea_mem_4n_6t_1d_1000f_617m_10i,1,573.433113436,,0,0
sea_mem_4n_6t_4d_1000f_617m_10i,1,531.116392135,,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,1,545.376881601,,0,0
sea_mem_4n_6t_4d_1000f_617m_10i,2,546.369406543,,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,2,537.938825800,,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,2,551.930611028,,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,2,544.158610627,,0,0
sea_mem_4n_6t_1d_1000f_617m_10i,2,585.523020312,,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,2,549.907637215,,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,3,541.163575939,,0,0
sea_mem_4n_6t_4d_1000f_617m_10i,3,548.357448993,,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,3,543.306545899,,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,3,543.414860149,,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,3,529.101362151,,0,0
sea_mem_4n_6t_1d_1000f_617m_10i,3,585.324844998,,0,0
sea_mem_4n_6t_1d_1000f_617m_10i,4,567.582387065,,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,4,537.069246918,,0,0
sea_mem_4n_6t_5d_1000f_617m_10i,4,543.080459397,,0,0
sea_mem_4n_6t_2d_1000f_617m_10i,4,544.048160723,,0,0
sea_mem_4n_6t_4d_1000f_617m_10i,4,528.670120377,,0,0
sea_mem_4n_6t_3d_1000f_617m_10i,4,544.484729320,,0,0
