experiment,repetition,runtime,flush_time,disk_files,total_flush
seacp_5n_6t_6d_1000f_617m_10i,0,5972.545580956,46m13.184s real 48m18.969s real 51m9.063s real 52m13.219s real 51m55.276s,8988,10000
seamem_5n_6t_6d_1000f_617m_5i,0,345.080908918,0m4.443s real 0m4.718s real 0m4.573s real 0m4.737s real 0m4.768s,0,0
seacp_5n_6t_6d_1000f_617m_1i,0,436.163315691,2m16.873s real 2m20.040s real 2m17.720s real 2m18.992s real 2m14.394s,0,1000
lustre_5n_6t_6d_1000f_617m_15i,0,1403.978234667,,0,0
seamem_5n_6t_6d_1000f_617m_1i,0,153.110941303,0m0.857s real 0m0.795s real 0m0.585s real 0m0.784s real 0m0.769s,0,0
lustre_5n_6t_6d_1000f_617m_10i,0,1086.921710100,,0,0
seamem_5n_6t_6d_1000f_617m_15i,0,813.164232817,,0,0
lustre_5n_6t_6d_1000f_617m_1i,0,294.008544928,,0,0
seacp_5n_6t_6d_1000f_617m_15i,0,899.895761427,,5966,6977
lustre_6n_6t_6d_1000f_617m_5i,0,680.669005395,,0,0
seamem_5n_6t_6d_1000f_617m_10i,0,674.533986090,0m11.107s real 0m11.155s real 0m11.035s real 0m11.049s real 0m11.135s,0,0
seacp_5n_6t_6d_1000f_617m_5i,0,1869.062619487,21m19.032s real 21m52.294s real 21m52.772s real 22m16.339s real 22m1.760s,3984,5000
seamem_5n_6t_6d_1000f_617m_10i,1,694.787221166,0m11.118s real 0m11.143s real 0m10.860s real 0m10.803s real 0m11.045s,0,0
seacp_5n_6t_6d_1000f_617m_10i,1,6138.488942499,46m23.861s real 47m44.794s real 48m10.835s real 49m4.134s real 46m55.593s,8986,10000
seamem_5n_6t_6d_1000f_617m_1i,1,153.029811061,0m0.837s real 0m0.878s real 0m0.827s real 0m0.852s real 0m0.828s,0,0
seacp_5n_6t_6d_1000f_617m_1i,1,449.199841355,2m25.630s real 2m26.160s real 2m38.430s real 2m32.914s real 2m46.090s,0,1000
lustre_5n_6t_6d_1000f_617m_1i,1,244.805813750,,0,0
seacp_5n_6t_6d_1000f_617m_5i,1,1798.445309098,20m29.495s real 21m24.709s real 21m53.709s real 21m22.868s real 22m0.933s,3987,5000
lustre_6n_6t_6d_1000f_617m_5i,1,620.397279740,,0,0
seamem_5n_6t_6d_1000f_617m_5i,1,336.953816591,0m4.544s real 0m4.547s real 0m4.404s real 0m4.781s real 0m4.768s,0,0
seamem_5n_6t_6d_1000f_617m_15i,1,789.288273482,,0,0
lustre_5n_6t_6d_1000f_617m_15i,1,1337.135616392,,0,0
seacp_5n_6t_6d_1000f_617m_15i,1,847.013631762,,6275,7287
lustre_5n_6t_6d_1000f_617m_10i,1,1107.522444807,,0,0
