experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_8n_6t_6d_1000f_617m_5i,0,290.770478365,,0,0
lustre_3n_6t_6d_1000f_617m_5i,0,639.424401357,,0,0
lustre_5n_6t_6d_1000f_617m_5i,0,413.809837609,,0,0
lustre_5n_6t_6d_1000f_617m_5i,1,385.008196936,,0,0
lustre_3n_6t_6d_1000f_617m_5i,1,590.271234633,,0,0
lustre_8n_6t_6d_1000f_617m_5i,1,285.074629825,,0,0
lustre_5n_6t_6d_1000f_617m_5i,2,409.534267026,,0,0
lustre_8n_6t_6d_1000f_617m_5i,2,284.705289860,,0,0
lustre_3n_6t_6d_1000f_617m_5i,2,622.268556163,,0,0
lustre_5n_6t_6d_1000f_617m_5i,3,418.075055650,,0,0
lustre_8n_6t_6d_1000f_617m_5i,3,269.469983500,,0,0
lustre_3n_6t_6d_1000f_617m_5i,3,621.887462544,,0,0
lustre_8n_6t_6d_1000f_617m_5i,4,280.077538463,,0,0
lustre_3n_6t_6d_1000f_617m_5i,4,625.557375784,,0,0
lustre_5n_6t_6d_1000f_617m_5i,4,424.629906796,,0,0
