experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_7n_6t_6d_1000f_617m_5i,0,337.283287454,,0,0
lustre_6n_6t_6d_1000f_617m_5i,0,395.359322285,,0,0
lustre_4n_6t_6d_1000f_617m_5i,0,506.663824653,,0,0
lustre_3n_6t_6d_1000f_617m_5i,0,659.086477600,,0,0
lustre_8n_6t_6d_1000f_617m_5i,0,300.358299301,,0,0
lustre_5n_6t_6d_1000f_617m_5i,0,426.449154672,,0,0
lustre_6n_6t_6d_1000f_617m_5i,1,379.290135731,,0,0
lustre_5n_6t_6d_1000f_617m_5i,1,436.508401964,,0,0
lustre_4n_6t_6d_1000f_617m_5i,1,527.579531741,,0,0
lustre_3n_6t_6d_1000f_617m_5i,1,664.154164842,,0,0
lustre_8n_6t_6d_1000f_617m_5i,1,309.232022385,,0,0
lustre_7n_6t_6d_1000f_617m_5i,1,312.552952423,,0,0
lustre_3n_6t_6d_1000f_617m_5i,2,664.924712895,,0,0
lustre_6n_6t_6d_1000f_617m_5i,2,377.873684244,,0,0
lustre_4n_6t_6d_1000f_617m_5i,2,496.445091190,,0,0
lustre_8n_6t_6d_1000f_617m_5i,2,308.935810767,,0,0
lustre_7n_6t_6d_1000f_617m_5i,2,343.068326175,,0,0
lustre_5n_6t_6d_1000f_617m_5i,2,424.960825839,,0,0
lustre_8n_6t_6d_1000f_617m_5i,3,287.640169425,,0,0
lustre_3n_6t_6d_1000f_617m_5i,3,683.383980729,,0,0
lustre_4n_6t_6d_1000f_617m_5i,3,522.687983459,,0,0
lustre_6n_6t_6d_1000f_617m_5i,3,366.851755649,,0,0
lustre_5n_6t_6d_1000f_617m_5i,3,424.618450499,,0,0
lustre_7n_6t_6d_1000f_617m_5i,3,328.764062405,,0,0
lustre_7n_6t_6d_1000f_617m_5i,4,341.205023494,,0,0
lustre_4n_6t_6d_1000f_617m_5i,4,509.279892486,,0,0
lustre_6n_6t_6d_1000f_617m_5i,4,379.576246363,,0,0
lustre_5n_6t_6d_1000f_617m_5i,4,415.276264059,,0,0
lustre_3n_6t_6d_1000f_617m_5i,4,661.686837571,,0,0
lustre_8n_6t_6d_1000f_617m_5i,4,303.963931408,,0,0
