experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_5n_6t_6d_1000f_617m_10i,0,12403.834822536,,0,0
lustre_4n_6t_6d_1000f_617m_10i,0,12841.256949954,,0,0
sea_mem_1n_6t_6d_1000f_617m_10i,0,16099.525154470,,477,498
lustre_3n_6t_6d_1000f_617m_10i,0,16534.499663161,,0,0
lustre_2n_6t_6d_1000f_617m_10i,0,24174.660151404,,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,0,2983.073971727,2m2.705s real 0m20.318s real 0m22.181s,907,987
sea_mem_2n_6t_6d_1000f_617m_10i,0,5051.654184700,1m40.972s,881,921
lustre_1n_6t_6d_1000f_617m_10i,0,26628.659845709,,0,0
sea_mem_3n_6t_6d_1000f_617m_10i,0,3303.790415472,0m30.927s real 2m8.165s,929,992
sea_mem_5n_6t_6d_1000f_617m_10i,0,2845.568743149,1m58.071s real 0m18.786s real 1m37.774s real 1m54.989s,890,991
lustre_4n_6t_6d_1000f_617m_10i,1,13395.216470207,,0,0
sea_mem_1n_6t_6d_1000f_617m_10i,1,16212.173821256,,477,497
