experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_2n_6t_6d_1000f_617m_1i,0,977.041533737,,0,0
lustre_8n_6t_6d_1000f_617m_1i,0,274.396560001,,0,0
lustre_3n_6t_6d_1000f_617m_1i,0,660.222863269,,0,0
lustre_4n_6t_6d_1000f_617m_1i,0,499.528907002,,0,0
lustre_5n_6t_6d_1000f_617m_1i,0,401.363460655,,0,0
lustre_6n_6t_6d_1000f_617m_1i,0,361.108266014,,0,0
lustre_7n_6t_6d_1000f_617m_1i,0,294.832506621,,0,0
lustre_1n_6t_6d_1000f_617m_1i,0,1936.338273852,,0,0
lustre_5n_6t_6d_1000f_617m_1i,1,430.912625957,,0,0
lustre_3n_6t_6d_1000f_617m_1i,1,653.758829997,,0,0
lustre_6n_6t_6d_1000f_617m_1i,1,367.309513662,,0,0
lustre_7n_6t_6d_1000f_617m_1i,1,291.930522731,,0,0
lustre_2n_6t_6d_1000f_617m_1i,1,983.691346073,,0,0
lustre_1n_6t_6d_1000f_617m_1i,1,1937.096547144,,0,0
lustre_8n_6t_6d_1000f_617m_1i,1,272.618347765,,0,0
lustre_4n_6t_6d_1000f_617m_1i,1,504.648920572,,0,0
lustre_1n_6t_6d_1000f_617m_1i,2,1933.178582526,,0,0
lustre_3n_6t_6d_1000f_617m_1i,2,654.553861373,,0,0
