experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_2n_6t_6d_1000f_617m_1i,0,232.060962869,,0,0
lustre_4n_6t_6d_1000f_617m_1i,0,122.288155790,,0,0
lustre_1n_6t_6d_1000f_617m_1i,0,456.345971219,,0,0
lustre_3n_6t_6d_1000f_617m_1i,0,153.428932994,,0,0
lustre_5n_6t_6d_1000f_617m_1i,0,96.506924676,,0,0
lustre_2n_6t_6d_1000f_617m_1i,1,229.830809322,,0,0
lustre_3n_6t_6d_1000f_617m_1i,1,156.689351737,,0,0
lustre_1n_6t_6d_1000f_617m_1i,1,456.257045112,,0,0
lustre_4n_6t_6d_1000f_617m_1i,1,120.155564910,,0,0
lustre_5n_6t_6d_1000f_617m_1i,1,95.948357214,,0,0
lustre_1n_6t_6d_1000f_617m_1i,2,455.244578116,,0,0
lustre_3n_6t_6d_1000f_617m_1i,2,153.649092773,,0,0
lustre_2n_6t_6d_1000f_617m_1i,2,229.031853641,,0,0
lustre_5n_6t_6d_1000f_617m_1i,2,96.685039720,,0,0
lustre_4n_6t_6d_1000f_617m_1i,2,119.683573738,,0,0
lustre_5n_6t_6d_1000f_617m_1i,3,96.478240573,,0,0
lustre_4n_6t_6d_1000f_617m_1i,3,123.972598554,,0,0
lustre_3n_6t_6d_1000f_617m_1i,3,154.568532985,,0,0
lustre_2n_6t_6d_1000f_617m_1i,3,229.438521940,,0,0
lustre_1n_6t_6d_1000f_617m_1i,3,455.261576438,,0,0
lustre_3n_6t_6d_1000f_617m_1i,4,153.943851539,,0,0
lustre_2n_6t_6d_1000f_617m_1i,4,240.397108053,,0,0
lustre_1n_6t_6d_1000f_617m_1i,4,456.355353673,,0,0
lustre_4n_6t_6d_1000f_617m_1i,4,118.096156657,,0,0
lustre_5n_6t_6d_1000f_617m_1i,4,96.273760949,,0,0
