experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_2n_6t_6d_1000f_617m_1i,0,970.483327909,,0,0
lustre_5n_6t_6d_1000f_617m_1i,0,451.250805657,,0,0
lustre_1n_6t_6d_1000f_617m_1i,0,1892.307646914,,0,0
lustre_4n_6t_6d_1000f_617m_1i,0,560.003611406,,0,0
lustre_3n_6t_6d_1000f_617m_1i,0,665.337930453,,0,0
lustre_3n_6t_6d_1000f_617m_1i,1,666.556670101,,0,0
lustre_1n_6t_6d_1000f_617m_1i,1,1901.373490027,,0,0
lustre_2n_6t_6d_1000f_617m_1i,1,971.681190398,,0,0
lustre_5n_6t_6d_1000f_617m_1i,1,465.078618663,,0,0
lustre_4n_6t_6d_1000f_617m_1i,1,537.765185066,,0,0
lustre_3n_6t_6d_1000f_617m_1i,2,690.202314589,,0,0
lustre_4n_6t_6d_1000f_617m_1i,2,532.981785489,,0,0
lustre_5n_6t_6d_1000f_617m_1i,2,450.154278375,,0,0
lustre_2n_6t_6d_1000f_617m_1i,2,1011.339269224,,0,0
lustre_1n_6t_6d_1000f_617m_1i,2,2122.339583199,,0,0
lustre_2n_6t_6d_1000f_617m_1i,3,990.382618565,,0,0
lustre_1n_6t_6d_1000f_617m_1i,3,1923.126025300,,0,0
lustre_5n_6t_6d_1000f_617m_1i,3,477.533153021,,0,0
lustre_3n_6t_6d_1000f_617m_1i,3,721.381836917,,0,0
lustre_4n_6t_6d_1000f_617m_1i,3,570.134695674,,0,0
lustre_4n_6t_6d_1000f_617m_1i,4,566.281092538,,0,0
lustre_1n_6t_6d_1000f_617m_1i,4,1903.517375799,,0,0
lustre_5n_6t_6d_1000f_617m_1i,4,476.807620081,,0,0
lustre_2n_6t_6d_1000f_617m_1i,4,999.548280811,,0,0
lustre_3n_6t_6d_1000f_617m_1i,4,710.083953920,,0,0
