experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_4n_6t_6d_1000f_617m_10i,0,1318.927845040,,0,0
lustre_3n_6t_6d_1000f_617m_10i,0,1226.131421546,,0,0
lustre_1n_6t_6d_1000f_617m_10i,0,3188.975315756,,0,0
lustre_2n_6t_6d_1000f_617m_10i,0,1658.902204457,,0,0
lustre_5n_6t_6d_1000f_617m_10i,0,765.767769986,,0,0
lustre_1n_6t_6d_1000f_617m_10i,1,3196.296440139,,0,0
lustre_5n_6t_6d_1000f_617m_10i,1,792.815010081,,0,0
lustre_4n_6t_6d_1000f_617m_10i,1,906.500341293,,0,0
lustre_2n_6t_6d_1000f_617m_10i,1,1646.968034045,,0,0
lustre_3n_6t_6d_1000f_617m_10i,1,1155.628236006,,0,0
lustre_4n_6t_6d_1000f_617m_10i,2,969.563389127,,0,0
lustre_1n_6t_6d_1000f_617m_10i,2,3232.025342694,,0,0
lustre_2n_6t_6d_1000f_617m_10i,2,1863.662698115,,0,0
lustre_3n_6t_6d_1000f_617m_10i,2,1305.672745762,,0,0
lustre_5n_6t_6d_1000f_617m_10i,2,910.882217789,,0,0
lustre_3n_6t_6d_1000f_617m_10i,3,1342.762700304,,0,0
lustre_5n_6t_6d_1000f_617m_10i,3,1031.517772669,,0,0
lustre_2n_6t_6d_1000f_617m_10i,3,1973.015905436,,0,0
lustre_4n_6t_6d_1000f_617m_10i,3,1112.908143094,,0,0
lustre_1n_6t_6d_1000f_617m_10i,3,3373.005811208,,0,0
lustre_5n_6t_6d_1000f_617m_10i,4,1039.816933485,,0,0
lustre_2n_6t_6d_1000f_617m_10i,4,1981.291817260,,0,0
lustre_3n_6t_6d_1000f_617m_10i,4,1432.527327583,,0,0
lustre_1n_6t_6d_1000f_617m_10i,4,3479.996971696,,0,0
lustre_4n_6t_6d_1000f_617m_10i,4,1202.923676573,,0,0
