experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_5n_1t_6d_1000f_617m_5i,0,2305.589135985,,0,0
sea_cp_5n_64t_6d_1000f_617m_5i,0,4146.409075859,27m40.282s real 28m11.360s real 28m37.364s real 27m30.490s real 26m56.499s,5000,5000
sea_mem_5n_1t_6d_1000f_617m_5i,0,1968.071849502,0m6.437s real 0m6.426s real 0m6.438s real 0m6.425s real 0m6.369s,0,0
sea_mem_5n_16t_6d_1000f_617m_5i,0,385.938287988,0m7.263s real 0m7.234s real 0m6.482s real 0m7.190s real 0m6.449s,0,0
sea_mem_5n_64t_6d_1000f_617m_5i,0,632.628148342,0m7.027s real 0m6.467s real 0m6.467s real 0m6.466s real 0m7.045s,0,0
lustre_5n_32t_6d_1000f_617m_5i,0,740.652540772,,0,0
sea_mem_5n_32t_6d_1000f_617m_5i,0,434.674679792,0m6.418s real 0m7.243s real 0m6.438s real 0m7.107s real 0m7.090s,0,0
lustre_5n_16t_6d_1000f_617m_5i,0,753.738032423,,0,0
sea_cp_5n_16t_6d_1000f_617m_5i,0,3258.699197443,26m30.566s real 25m11.987s real 26m10.606s real 28m0.522s real 25m19.615s,4994,5000
sea_cp_5n_1t_6d_1000f_617m_5i,0,5298.636284661,28m18.290s real 29m22.893s real 28m35.000s real 28m14.453s real 26m9.760s,4975,5000
lustre_5n_64t_6d_1000f_617m_5i,0,10079.333810184,,0,0
sea_cp_5n_32t_6d_1000f_617m_5i,0,3580.733937958,26m53.711s real 27m29.835s real 28m23.552s real 30m22.014s real 26m17.503s,5000,5000
sea_cp_5n_16t_6d_1000f_617m_5i,1,2845.777757493,25m10.125s real 27m7.633s real 26m34.521s real 26m58.323s real 27m7.809s,4992,5000
sea_mem_5n_32t_6d_1000f_617m_5i,1,419.276135140,0m6.437s real 0m6.394s real 0m6.414s real 0m6.329s real 0m6.313s,0,0
sea_mem_5n_16t_6d_1000f_617m_5i,1,373.636105866,0m6.339s real 0m6.437s real 0m7.057s real 0m6.466s real 0m6.406s,0,0
sea_cp_5n_64t_6d_1000f_617m_5i,1,3859.897319500,24m57.043s real 28m46.277s real 27m18.450s real 27m40.831s real 29m22.805s,5000,5000
lustre_5n_32t_6d_1000f_617m_5i,1,849.194521348,,0,0
sea_cp_5n_32t_6d_1000f_617m_5i,1,3306.905868331,27m18.961s real 27m15.927s real 29m20.170s real 28m22.027s real 28m46.308s,5000,5000
sea_mem_5n_1t_6d_1000f_617m_5i,1,1932.270090603,0m6.448s real 0m6.404s real 0m6.598s real 0m6.417s real 0m6.331s,0,0
lustre_5n_1t_6d_1000f_617m_5i,1,2275.739849680,,0,0
lustre_5n_64t_6d_1000f_617m_5i,1,883.451289036,,0,0
sea_mem_5n_64t_6d_1000f_617m_5i,1,597.409923597,0m6.425s real 0m6.348s real 0m6.457s real 0m6.333s real 0m6.466s,0,0
lustre_5n_16t_6d_1000f_617m_5i,1,774.961362630,,0,0
sea_cp_5n_1t_6d_1000f_617m_5i,1,5066.466053230,30m28.468s real 29m40.825s real 30m2.142s real 28m45.111s real 26m59.916s,4975,5000
sea_cp_5n_1t_6d_1000f_617m_5i,2,4976.078190975,29m27.114s real 29m3.210s real 29m13.988s real 27m41.488s real 27m59.205s,4975,5000
sea_mem_5n_1t_6d_1000f_617m_5i,2,1935.615739334,0m6.412s real 0m6.497s real 0m6.492s real 0m6.381s real 0m6.380s,0,0
lustre_5n_1t_6d_1000f_617m_5i,2,2227.156022993,,0,0
sea_mem_5n_16t_6d_1000f_617m_5i,2,399.805006651,0m6.372s real 0m6.452s real 0m6.491s real 0m6.439s real 0m7.139s,0,0
sea_cp_5n_64t_6d_1000f_617m_5i,2,3499.018271536,28m51.224s real 27m55.040s real 29m15.464s real 27m20.601s real 26m14.423s,5000,5000
lustre_5n_64t_6d_1000f_617m_5i,2,762.127128590,,0,0
sea_mem_5n_32t_6d_1000f_617m_5i,2,356.742111411,0m6.469s real 0m6.436s real 0m6.328s real 0m6.473s real 0m7.044s,0,0
lustre_5n_16t_6d_1000f_617m_5i,2,772.773593707,,0,0
sea_cp_5n_16t_6d_1000f_617m_5i,2,3371.134074545,26m51.808s real 27m55.281s real 28m43.532s real 27m2.357s real 26m56.548s,4992,5000
sea_cp_5n_32t_6d_1000f_617m_5i,2,3258.962555459,27m31.085s real 27m18.279s real 29m4.118s real 27m16.061s real 27m43.977s,5000,5000
lustre_5n_32t_6d_1000f_617m_5i,2,744.892376253,,0,0
sea_mem_5n_64t_6d_1000f_617m_5i,2,666.390388904,0m6.522s real 0m6.256s real 0m6.504s real 0m6.508s real 0m6.386s,0,0
lustre_5n_1t_6d_1000f_617m_5i,3,2233.801106894,,0,0
lustre_5n_16t_6d_1000f_617m_5i,3,741.286496370,,0,0
lustre_5n_64t_6d_1000f_617m_5i,3,920.540532690,,0,0
sea_cp_5n_64t_6d_1000f_617m_5i,3,3672.569873987,27m2.970s real 28m9.750s real 31m1.213s real 27m51.743s real 27m37.484s,5000,5000
sea_mem_5n_1t_6d_1000f_617m_5i,3,1944.468033025,0m6.502s real 0m6.524s real 0m6.432s real 0m6.421s real 0m6.410s,0,0
sea_mem_5n_32t_6d_1000f_617m_5i,3,440.870739457,0m6.997s real 0m6.505s real 0m6.527s real 0m6.458s real 0m6.970s,0,0
sea_cp_5n_1t_6d_1000f_617m_5i,3,4771.764914926,28m35.370s real 29m17.243s real 29m8.703s real 28m24.279s real 26m19.174s,4975,5000
lustre_5n_32t_6d_1000f_617m_5i,3,775.202658981,,0,0
sea_mem_5n_16t_6d_1000f_617m_5i,3,384.682710179,0m6.345s real 0m6.437s real 0m6.514s real 0m6.457s real 0m6.387s,0,0
sea_cp_5n_32t_6d_1000f_617m_5i,3,3077.880350104,26m13.157s real 26m21.372s real 26m17.250s real 26m40.764s real 23m48.328s,5000,5000
sea_mem_5n_64t_6d_1000f_617m_5i,3,627.094040143,0m6.523s real 0m6.286s real 0m6.497s real 0m6.612s real 0m6.368s,0,0
sea_cp_5n_16t_6d_1000f_617m_5i,3,3078.215297863,25m58.003s real 27m22.913s real 29m50.347s real 28m27.147s real 27m57.092s,4990,5000
sea_cp_5n_1t_6d_1000f_617m_5i,4,5260.319918224,28m42.408s real 29m45.709s real 28m39.949s real 26m56.797s real 25m19.106s,4975,5000
sea_mem_5n_32t_6d_1000f_617m_5i,4,464.228590606,0m6.423s real 0m6.279s real 0m6.960s real 0m6.425s real 0m6.557s,0,0
sea_mem_5n_1t_6d_1000f_617m_5i,4,1954.881481251,0m6.433s real 0m6.499s real 0m6.419s real 0m6.433s real 0m6.381s,0,0
sea_cp_5n_32t_6d_1000f_617m_5i,4,3278.704673763,25m31.844s real 26m36.813s real 27m48.087s real 27m44.882s real 26m59.846s,5000,5000
sea_cp_5n_64t_6d_1000f_617m_5i,4,3966.625748152,26m39.290s real 27m44.956s real 29m36.505s real 29m42.474s real 27m11.310s,5000,5000
lustre_5n_1t_6d_1000f_617m_5i,4,2237.918475732,,0,0
lustre_5n_16t_6d_1000f_617m_5i,4,710.597271041,,0,0
sea_mem_5n_64t_6d_1000f_617m_5i,4,640.032157025,0m7.218s real 0m6.429s real 0m6.562s real 0m6.277s real 0m7.072s,0,0
sea_mem_5n_16t_6d_1000f_617m_5i,4,411.741244177,0m6.351s real 0m6.425s real 0m6.481s real 0m6.434s real 0m6.470s,0,0
lustre_5n_32t_6d_1000f_617m_5i,4,615.184588119,,0,0
sea_cp_5n_16t_6d_1000f_617m_5i,4,2265.724305767,24m4.208s real 25m22.056s real 25m26.619s real 25m30.098s real 24m34.855s,4994,5000
lustre_5n_64t_6d_1000f_617m_5i,4,828.974343149,,0,0
