experiment,repetition,runtime,flush_time,disk_files,total_flush
sea_cp_5n_6t_2d_1000f_617m_5i,0,2450.641073671,21m3.362s real 20m7.525s real 21m9.524s real 21m46.444s real 19m51.162s,3760,5000
sea_mem_5n_6t_2d_1000f_617m_5i,0,559.122178181,0m8.649s real 0m8.235s real 0m9.689s real 0m7.396s real 0m7.077s,750,1000
sea_mem_5n_6t_1d_1000f_617m_5i,0,840.801448325,0m8.183s real 0m6.586s real 0m6.427s real 0m6.255s real 0m6.264s,756,1000
sea_mem_5n_6t_4d_1000f_617m_5i,0,515.351614234,0m8.676s real 0m9.502s real 0m4.909s real 0m8.287s real 0m7.850s,751,1000
sea_cp_5n_6t_6d_1000f_617m_5i,0,2312.129372520,20m24.426s real 21m11.769s real 21m30.523s real 21m6.716s real 19m32.572s,3757,5000
sea_mem_5n_6t_6d_1000f_617m_5i,0,508.674736079,0m8.004s real 0m7.167s real 0m5.860s real 0m9.095s real 0m7.781s,755,1000
sea_cp_5n_6t_4d_1000f_617m_5i,0,2594.707336700,21m2.057s real 20m4.345s real 20m40.312s real 20m38.000s real 19m25.530s,3750,5000
sea_cp_5n_6t_1d_1000f_617m_5i,0,3383.775502012,19m35.624s real 20m59.190s real 19m59.767s real 19m48.363s real 17m47.553s,3639,4896
sea_mem_5n_6t_1d_1000f_617m_5i,1,841.623788955,0m7.662s real 0m6.852s real 0m6.552s real 0m4.760s real 0m5.456s,752,1000
sea_cp_5n_6t_1d_1000f_617m_5i,1,3323.768353814,19m27.534s real 20m24.142s real 20m21.279s real 18m39.332s real 17m48.440s,3658,4911
sea_mem_5n_6t_2d_1000f_617m_5i,1,524.328804357,0m8.256s real 0m10.191s real 0m4.777s real 0m4.814s real 0m8.830s,756,1000
sea_mem_5n_6t_6d_1000f_617m_5i,1,498.770483512,0m4.908s real 0m9.700s real 0m11.535s real 0m5.845s real 0m5.615s,753,1000
sea_cp_5n_6t_2d_1000f_617m_5i,1,2458.919489409,20m29.752s real 20m40.308s real 20m48.551s real 20m6.782s real 20m2.705s,3755,5000
sea_mem_5n_6t_4d_1000f_617m_5i,1,485.901261967,0m7.839s real 0m13.056s real 0m6.865s real 0m7.447s real 0m8.533s,758,1000
sea_cp_5n_6t_4d_1000f_617m_5i,1,2688.239811690,21m8.042s real 20m19.471s real 20m23.094s real 19m44.311s real 17m24.540s,3760,5000
sea_cp_5n_6t_6d_1000f_617m_5i,1,2688.293071997,20m29.457s real 20m4.066s real 19m4.438s real 20m7.015s real 19m44.745s,3757,5000
sea_mem_5n_6t_6d_1000f_617m_5i,2,481.015641069,0m10.850s real 0m7.570s real 0m9.851s real 0m7.747s real 0m5.682s,753,1000
sea_mem_5n_6t_1d_1000f_617m_5i,2,827.081885512,0m9.224s real 0m7.744s real 0m5.781s real 0m5.626s real 0m7.363s,748,1000
sea_mem_5n_6t_4d_1000f_617m_5i,2,482.204409944,0m9.825s real 0m8.569s real 0m9.661s real 0m12.382s real 0m8.239s,753,1000
sea_cp_5n_6t_2d_1000f_617m_5i,2,2780.056739452,20m23.538s real 19m25.485s real 19m35.397s real 19m6.113s real 17m47.280s,3751,5000
sea_cp_5n_6t_4d_1000f_617m_5i,2,2653.316588822,19m36.767s real 19m42.350s real 19m15.003s real 18m43.740s real 18m41.069s,3755,5000
sea_cp_5n_6t_6d_1000f_617m_5i,2,2762.711737076,20m59.632s real 19m56.841s real 20m28.595s real 20m24.286s real 18m8.236s,3762,5000
sea_cp_5n_6t_1d_1000f_617m_5i,2,3774.492465589,20m24.912s real 19m50.947s real 19m34.863s real 19m23.919s real 17m10.491s,3680,4935
