experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_7n_6t_6d_1000f_617m_5i,0,,,0,0
lustre_5n_6t_6d_1000f_617m_5i,0,1.028686398,,0,0
lustre_1n_6t_6d_1000f_617m_5i,0,3.744434896,,0,0
lustre_8n_6t_6d_1000f_617m_5i,0,,,0,0
lustre_6n_6t_6d_1000f_617m_5i,0,1.028124539,,0,0
lustre_4n_6t_6d_1000f_617m_5i,0,1.199008615,,0,0
lustre_2n_6t_6d_1000f_617m_5i,0,2.031594273,,0,0
lustre_3n_6t_6d_1000f_617m_5i,0,1.466128305,,0,0
lustre_7n_6t_6d_1000f_617m_5i,1,,,0,0
lustre_3n_6t_6d_1000f_617m_5i,1,1.490664625,,0,0
lustre_1n_6t_6d_1000f_617m_5i,1,3.761059630,,0,0
lustre_2n_6t_6d_1000f_617m_5i,1,2.037717350,,0,0
lustre_5n_6t_6d_1000f_617m_5i,1,1.007418039,,0,0
lustre_6n_6t_6d_1000f_617m_5i,1,1.015716493,,0,0
lustre_4n_6t_6d_1000f_617m_5i,1,1.195956705,,0,0
lustre_8n_6t_6d_1000f_617m_5i,1,,,0,0
lustre_6n_6t_6d_1000f_617m_5i,2,1.045303956,,0,0
lustre_1n_6t_6d_1000f_617m_5i,2,3.773943851,,0,0
lustre_3n_6t_6d_1000f_617m_5i,2,1.479885142,,0,0
lustre_7n_6t_6d_1000f_617m_5i,2,,,0,0
lustre_5n_6t_6d_1000f_617m_5i,2,1.020051502,,0,0
lustre_8n_6t_6d_1000f_617m_5i,2,,,0,0
lustre_2n_6t_6d_1000f_617m_5i,2,2.051647364,,0,0
lustre_4n_6t_6d_1000f_617m_5i,2,1.193364299,,0,0
lustre_6n_6t_6d_1000f_617m_5i,3,1.028229798,,0,0
lustre_3n_6t_6d_1000f_617m_5i,3,1.502605451,,0,0
lustre_5n_6t_6d_1000f_617m_5i,3,1.023380750,,0,0
lustre_8n_6t_6d_1000f_617m_5i,3,,,0,0
