experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_8n_6t_6d_1000f_617m_5i,0,,,0,0
lustre_6n_6t_6d_1000f_617m_5i,0,1.019885706,,0,0
lustre_1n_6t_6d_1000f_617m_5i,0,3.814151305,,0,0
lustre_2n_6t_6d_1000f_617m_5i,0,2.075567247,,0,0
lustre_4n_6t_6d_1000f_617m_5i,0,1.191976932,,0,0
lustre_3n_6t_6d_1000f_617m_5i,0,1.485477315,,0,0
lustre_7n_6t_6d_1000f_617m_5i,0,,,0,0
lustre_5n_6t_6d_1000f_617m_5i,0,1.036226589,,0,0
lustre_7n_6t_6d_1000f_617m_5i,1,,,0,0
lustre_3n_6t_6d_1000f_617m_5i,1,1.474302505,,0,0
lustre_5n_6t_6d_1000f_617m_5i,1,1.024085643,,0,0
lustre_2n_6t_6d_1000f_617m_5i,1,2.070760289,,0,0
lustre_4n_6t_6d_1000f_617m_5i,1,1.189916630,,0,0
lustre_6n_6t_6d_1000f_617m_5i,1,1.030700743,,0,0
lustre_1n_6t_6d_1000f_617m_5i,1,3.795737972,,0,0
lustre_8n_6t_6d_1000f_617m_5i,1,,,0,0
lustre_5n_6t_6d_1000f_617m_5i,2,1.040478601,,0,0
lustre_3n_6t_6d_1000f_617m_5i,2,1.459051112,,0,0
